SampleAccessionNumber	DataSetAccesionNumber	SampleType	CancerType	Outliers
GSM1416210.CEL.gz	GSM1416210	GSE58644	Cancer	Luminal A	NA
GSM1416211.CEL.gz	GSM1416211	GSE58644	Cancer	Luminal A	NA
GSM1416212.CEL.gz	GSM1416212	GSE58644	Cancer	TNBC	Yes
GSM1416213.CEL.gz	GSM1416213	GSE58644	Cancer	Luminal A	NA
GSM1416214.CEL.gz	GSM1416214	GSE58644	Cancer	Luminal A	NA
GSM1416215.CEL.gz	GSM1416215	GSE58644	Cancer	Luminal A	NA
GSM1416216.CEL.gz	GSM1416216	GSE58644	Cancer	Luminal A	NA
GSM1416217.CEL.gz	GSM1416217	GSE58644	Cancer	Luminal A	NA
GSM1416218.CEL.gz	GSM1416218	GSE58644	Cancer	Luminal A	NA
GSM1416219.CEL.gz	GSM1416219	GSE58644	Cancer	Luminal A	NA
GSM1416221.CEL.gz	GSM1416221	GSE58644	Cancer	Luminal A	NA
GSM1416223.CEL.gz	GSM1416223	GSE58644	Cancer	Luminal A	NA
GSM1416224.CEL.gz	GSM1416224	GSE58644	Cancer	Luminal A	NA
GSM1416225.CEL.gz	GSM1416225	GSE58644	Cancer	Luminal A	NA
GSM1416226.CEL.gz	GSM1416226	GSE58644	Cancer	Luminal A	NA
GSM1416227.CEL.gz	GSM1416227	GSE58644	Cancer	Luminal A	NA
GSM1416228.CEL.gz	GSM1416228	GSE58644	Cancer	Luminal A	NA
GSM1416229.CEL.gz	GSM1416229	GSE58644	Cancer	Luminal A	NA
GSM1416230.CEL.gz	GSM1416230	GSE58644	Cancer	Luminal B	NA
GSM1416231.CEL.gz	GSM1416231	GSE58644	Cancer	Luminal A	NA
GSM1416232.CEL.gz	GSM1416232	GSE58644	Cancer	Luminal A	NA
GSM1416233.CEL.gz	GSM1416233	GSE58644	Cancer	Luminal B	NA
GSM1416234.CEL.gz	GSM1416234	GSE58644	Cancer	Luminal B	NA
GSM1416235.CEL.gz	GSM1416235	GSE58644	Cancer	Luminal A	NA
GSM1416236.CEL.gz	GSM1416236	GSE58644	Cancer	Her2	NA
GSM1416237.CEL.gz	GSM1416237	GSE58644	Cancer	TNBC	NA
GSM1416238.CEL.gz	GSM1416238	GSE58644	Cancer	Luminal B	NA
GSM1416239.CEL.gz	GSM1416239	GSE58644	Cancer	Luminal B	NA
GSM1416240.CEL.gz	GSM1416240	GSE58644	Cancer	Luminal A	NA
GSM1416241.CEL.gz	GSM1416241	GSE58644	Cancer	Luminal A	NA
GSM1416242.CEL.gz	GSM1416242	GSE58644	Cancer	Luminal A	NA
GSM1416243.CEL.gz	GSM1416243	GSE58644	Cancer	Luminal B	NA
GSM1416244.CEL.gz	GSM1416244	GSE58644	Cancer	Luminal A	NA
GSM1416245.CEL.gz	GSM1416245	GSE58644	Cancer	Luminal A	NA
GSM1416246.CEL.gz	GSM1416246	GSE58644	Cancer	Luminal A	NA
GSM1416247.CEL.gz	GSM1416247	GSE58644	Cancer	Luminal A	NA
GSM1416248.CEL.gz	GSM1416248	GSE58644	Cancer	Luminal B	NA
GSM1416249.CEL.gz	GSM1416249	GSE58644	Cancer	Luminal A	NA
GSM1416250.CEL.gz	GSM1416250	GSE58644	Cancer	Luminal A	NA
GSM1416251.CEL.gz	GSM1416251	GSE58644	Cancer	Luminal A	NA
GSM1416252.CEL.gz	GSM1416252	GSE58644	Cancer	Luminal A	NA
GSM1416253.CEL.gz	GSM1416253	GSE58644	Cancer	Luminal A	NA
GSM1416254.CEL.gz	GSM1416254	GSE58644	Cancer	Luminal A	NA
GSM1416255.CEL.gz	GSM1416255	GSE58644	Cancer	Luminal A	NA
GSM1416256.CEL.gz	GSM1416256	GSE58644	Cancer	Luminal B	NA
GSM1416257.CEL.gz	GSM1416257	GSE58644	Cancer	Luminal B	NA
GSM1416258.CEL.gz	GSM1416258	GSE58644	Cancer	Her2	NA
GSM1416259.CEL.gz	GSM1416259	GSE58644	Cancer	Luminal A	NA
GSM1416261.CEL.gz	GSM1416261	GSE58644	Cancer	Luminal A	NA
GSM1416262.CEL.gz	GSM1416262	GSE58644	Cancer	Luminal A	NA
GSM1416263.CEL.gz	GSM1416263	GSE58644	Cancer	Luminal A	NA
GSM1416264.CEL.gz	GSM1416264	GSE58644	Cancer	Luminal A	NA
GSM1416265.CEL.gz	GSM1416265	GSE58644	Cancer	Luminal A	NA
GSM1416266.CEL.gz	GSM1416266	GSE58644	Cancer	Luminal A	NA
GSM1416267.CEL.gz	GSM1416267	GSE58644	Cancer	Luminal A	NA
GSM1416268.CEL.gz	GSM1416268	GSE58644	Cancer	Luminal A	NA
GSM1416269.CEL.gz	GSM1416269	GSE58644	Cancer	Her2	NA
GSM1416270.CEL.gz	GSM1416270	GSE58644	Cancer	Luminal A	NA
GSM1416271.CEL.gz	GSM1416271	GSE58644	Cancer	Luminal A	NA
GSM1416272.CEL.gz	GSM1416272	GSE58644	Cancer	Luminal A	NA
GSM1416273.CEL.gz	GSM1416273	GSE58644	Cancer	Luminal A	NA
GSM1416274.CEL.gz	GSM1416274	GSE58644	Cancer	Luminal A	NA
GSM1416275.CEL.gz	GSM1416275	GSE58644	Cancer	Luminal A	NA
GSM1416276.CEL.gz	GSM1416276	GSE58644	Cancer	Luminal A	NA
GSM1416277.CEL.gz	GSM1416277	GSE58644	Cancer	Her2	NA
GSM1416278.CEL.gz	GSM1416278	GSE58644	Cancer	Luminal A	NA
GSM1416279.CEL.gz	GSM1416279	GSE58644	Cancer	Luminal A	NA
GSM1416280.CEL.gz	GSM1416280	GSE58644	Cancer	Luminal A	NA
GSM1416281.CEL.gz	GSM1416281	GSE58644	Cancer	Luminal A	NA
GSM1416282.CEL.gz	GSM1416282	GSE58644	Cancer	Luminal A	NA
GSM1416283.CEL.gz	GSM1416283	GSE58644	Cancer	Luminal A	NA
GSM1416284.CEL.gz	GSM1416284	GSE58644	Cancer	Luminal A	NA
GSM1416285.CEL.gz	GSM1416285	GSE58644	Cancer	Luminal B	NA
GSM1416286.CEL.gz	GSM1416286	GSE58644	Cancer	Luminal A	NA
GSM1416287.CEL.gz	GSM1416287	GSE58644	Cancer	Luminal A	NA
GSM1416288.CEL.gz	GSM1416288	GSE58644	Cancer	Luminal A	NA
GSM1416289.CEL.gz	GSM1416289	GSE58644	Cancer	Luminal B	NA
GSM1416290.CEL.gz	GSM1416290	GSE58644	Cancer	Luminal B	NA
GSM1416291.CEL.gz	GSM1416291	GSE58644	Cancer	Luminal A	NA
